"Reference","Qty","Description","Nominal Part","Package"
"U1",1,"CPU","Intel D8008 / C8008","DIP-18"
"U2",1,"FRAM","Infineon FM1808B-SG","SOIC-28"
"U4",1,"CPLD","Microchip ATF1504AS-10AU100","TQFP-100"
"U5",1,"USB","Microchip MCP2221A-I/SL","SOIC-14"
"DC1",1,"5V-9V isolated DC-DC conv","TI DCP020509U","SOIC-28"
"D1",1,"LED","Würth 150060BS55040","SMD 0603"
"SW1",1,"Tact button","C&K KMR241GLFS",
"R1",1,"1.0K","KOA SG731JTTD102K","SMD 0603"
"R2,R3,R4",3,"10K","KOA SG731JTTD103K","SMD 0603"
"C1,C2,C3,C4,C5,C6",6,"0.1 µF","Taiyo Yuden LMF107B7104MAHT","SMD 0603"
"C7",1,"1.0 µF","Taiyo Yuden LMK212B7105KD-T","SMD 0805"
"C8",1,"2.2 µF low ESR","Taiyo Yuden LMK212B7225MGHT","SMD 0805"
"J1",1,"Header 2x5 1.27mm","Amphenol 10166143-00010C1LF",
"J2",1,"USB micro-B female","Molex 0473460001",
"J3",1,"Header 2x10 1.27mm","Amphenol 10166143-00020C1LF",
"J4",1,"DIP socket","On Shore Tech SA183040","DIP-18"
